"name","price","review_count","purchase_price","profitable"
"Human Anatomy Atlas 2018: Complete 3D Human Body","$24.99","100,000+","$249,900.00","Y"
"I'm Rich - Trump Edition","$400.00","10,000+","$4,000,000.00","Y"
"I am Bread","$4.99","10,000+","$49,900.00","Y"
"I am rich","$399.99","100,000+","$3,999,900.00","Y"
"I Am Rich","$389.99","10,000+","$3,899,900.00","Y"
"I am Rich Plus","$399.99","10,000+","$3,999,900.00","Y"
"I Am Rich Premium","$399.99","50,000+","$3,999,900.00","Y"
"I am Rich Premium Plus","$18.99","10,000+","$189,900.00","Y"
"I am rich VIP","$299.99","10,000+","$2,999,900.00","Y"
"I Can't Wake Up!","$2.99","10,000+","$29,900.00","Y"
"IBM Micromedex Drug Info","$2.99","10,000+","$29,900.00","Y"
"iBP Blood Pressure","$0.99","10,000+","$9,900.00","Y"
"iCam - Webcam Video Streaming","$4.99","10,000+","$49,900.00","Y"
"Infinity Dungeon VIP","$0.99","1,000,000+","$9,900.00","Y"
"Inventory & Barcode scanner & WIFI scanner","$1.49","50,000+","$14,900.00","Y"
"Journal Club: Medicine","$6.99","10,000+","$69,900.00","Y"
"Jurassic Life: T Rex Simulator","$0.99","10,000+","$9,900.00","Y"
"K-@ Mail Pro - Email App","$4.99","10,000+","$49,900.00","Y"
"Kairo XP (for HD Widgets)","$0.99","10,000+","$9,900.00","Y"
"Kernel Manager for Franco Kernel ✨","$3.49","100,000+","$34,900.00","Y"
"King of Math","$2.99","10,000+","$29,900.00","Y"
"Koi Live Wallpaper","$0.99","100,000+","$9,900.00","Y"
"Lab Values + Medical Reference","$2.99","10,000+","$29,900.00","Y"
"Lapse It • Time Lapse • Pro","$2.99","100,000+","$29,900.00","Y"
"League of Stickman 2018- Ninja Arena PVP(Dreamsky)","$0.99","1,000,000+","$9,900.00","Y"
"Learn Italian with MosaLingua","$4.99","50,000+","$49,900.00","Y"
"LEGO ® Batman: Beyond Gotham","$4.99","100,000+","$49,900.00","Y"
"LEGO Batman: DC Super Heroes","$4.99","50,000+","$49,900.00","Y"
